GlobalRank,Name,Team,Pos,ECR_Pos,ContractYear,Flag,Notes,PosTier,Bye,SoS_Rank,SoS_Tier,SoS_Label,SF_TEP_Tag,GlobalValue,DurabilityNote,Tier,TierLevel,ADP,ValueDelta
11,Christian McCaffrey,SF,RB,3,N,BUST,Age 30; heavy-touch seasons have twice preceded serious injury years,2,8.0,19,3,Neutral,SF Overall #17,115.6,repeated heavy-touch injury pattern at age 30,2,Tier 2,8.6,-2.4
12,Joe Burrow,CIN,QB,4,N,,Superflex 1st-round arm talent; SF Overall #4,2,6.0,6,1,Very Soft,Superflex Elite | SF Overall #4,115.1,,2,Tier 2,18.8,6.8
13,Jonathan Taylor,IND,RB,4,N,STUD,Led the NFL in snap share (89%) in 2025; SF Overall #18,2,13.0,26,4,Tough,SF Overall #18,100.0,,2,Tier 2,11.2,-1.8
14,Amon-Ra St. Brown,DET,WR,4,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,2,6.0,32,5,Gauntlet,SF Overall #14,97.3,,2,Tier 2,10.8,-3.2
15,Jayden Daniels,WAS,QB,5,N,GAMBLE,Missed 10 games in 2025; new under-center scheme; boom/bust,3,7.0,7,2,Soft,Superflex Starter | SF Overall #5,94.7,,2,Tier 2,23.2,8.2
16,CeeDee Lamb,DAL,WR,5,N,STUD,Safest true WR1 anchor; elite target volume,2,14.0,8,2,Soft,SF Overall #20,89.6,,2,Tier 2,15.3,-0.7
17,Colston Loveland,CHI,TE,3,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,2,10.0,28,5,Gauntlet,TEP Cheat Code,85.6,,2,Tier 2,44.8,27.8
18,James Cook,BUF,RB,5,N,FLOOR,Steady early-down/receiving mix; SF Overall #19,2,7.0,31,5,Gauntlet,SF Overall #19,81.4,,2,Tier 2,13.3,-4.7
19,Jalen Hurts,PHI,QB,6,N,BUST,Rushing attempts down 3 straight yrs; tush-push success rate 90%->60%,3,10.0,3,1,Very Soft,Superflex Starter | SF Overall #6,80.5,,2,Tier 2,25.1,6.1
20,Justin Jefferson,MIN,WR,6,N,STUD,2025 dip was QB-driven (McCarthy); Murray at QB is a real bounce-back thesis,2,6.0,9,2,Soft,,77.6,,2,Tier 2,16.6,-3.4
21,Chase Brown,CIN,RB,6,Y,FLOOR,Contract year; cited as the predictable alternative to a risky McCaffrey pick,2,6.0,32,5,Gauntlet,,72.2,,2,Tier 2,22.1,1.1
22,Tyler Warren,IND,TE,4,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,2,13.0,12,2,Soft,TEP Cheat Code,66.5,,3,Tier 3,58.7,36.7
23,A.J. Brown,NE,WR,7,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,2,11.0,18,3,Neutral,,66.4,,3,Tier 3,26.0,3.0
24,Saquon Barkley,PHI,RB,7,N,SLEEPER,2025 dip looks like a blocking/scheme issue; new OC brings a livelier scheme,2,10.0,6,1,Very Soft,,64.4,,3,Tier 3,17.3,-6.7
25,Caleb Williams,CHI,QB,7,N,,Superflex upside arm; SF Overall #10,4,10.0,28,5,Gauntlet,Superflex Starter | SF Overall #10,62.9,,3,Tier 3,28.0,3.0
26,Drake London,ATL,WR,8,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,2,11.0,19,3,Neutral,,58.8,,3,Tier 3,26.4,0.4
27,Nico Collins,HOU,WR,9,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,3,8.0,5,1,Very Soft,,55.1,,3,Tier 3,28.8,1.8
28,Justin Herbert,LAC,QB,8,N,,New OC Mike McDaniel arrives in LAC,4,7.0,26,4,Tough,Superflex Starter | SF Overall #12,53.9,,3,Tier 3,35.9,7.9
29,De'Von Achane,MIA,RB,8,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,3,6.0,22,4,Tough,,53.4,,3,Tier 3,20.0,-9.0
30,Tucker Kraft,GB,TE,5,Y,DEPTH,Contract year; ascending real TE1 target,3,11.0,20,4,Tough,TEP Boost,52.1,,3,Tier 3,77.5,47.5
31,George Pickens,DAL,WR,10,Y,DEPTH,Contract year; real starter-caliber weapon in Dallas,3,14.0,8,2,Soft,,51.5,,3,Tier 3,31.1,0.1
32,Kenneth Walker III,KC,RB,9,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,3,5.0,27,5,Gauntlet,,46.1,,3,Tier 3,23.3,-8.7
33,Trevor Lawrence,JAC,QB,9,N,,"UPDATED 8/30: fully healthy entering 2026 (Dec 2025 shoulder/AC-joint surgery is resolved), confirmed Week 1 starter per camp reports -- Superflex-relevant arm, needs weapons to step up",5,7.0,27,5,Gauntlet,Superflex Depth | SF Overall #16,45.9,,3,Tier 3,42.1,9.1
34,Omarion Hampton,LAC,RB,10,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,3,7.0,14,3,Neutral,,42.5,,3,Tier 3,25.1,-8.9
35,Dak Prescott,DAL,QB,10,N,,Steady superflex QB1/2 floor,5,14.0,8,2,Soft,Superflex Depth | SF Overall #15,41.5,,3,Tier 3,38.9,3.9
36,Harold Fannin,CLE,TE,6,N,BUST,Benefited from Njoku's injury; new additions should restore balanced play-calling,3,11.0,2,1,Very Soft,TEP Boost,41.0,,3,Tier 3,81.4,45.4
37,Chris Olave,NO,WR,11,N,GAMBLE,"NEW 8/30: well-documented multi-concussion history (his new contract even has a guarantee waiver for a career-ending concussion) -- had an Aug practice scare, reportedly fine, but recurrence risk is real",3,8.0,11,2,Soft,,40.4,well-documented multi-concussion history,3,Tier 3,37.5,0.5
38,Malik Nabers,NYG,WR,12,N,GAMBLE,"Recovering well from a 2025 ACL tear, trending to a Wk1 return; price hasn't fully caught up",3,8.0,1,1,Very Soft,,38.2,recovering from a 2025 ACL tear,3,Tier 3,35.5,-2.5
39,DeVonta Smith,PHI,WR,13,N,FLOOR,Steady target share in an efficient offense,3,10.0,3,1,Very Soft,,37.0,,3,Tier 3,41.4,2.4
40,Derrick Henry,BAL,RB,11,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,3,13.0,20,4,Tough,,37.0,,3,Tier 3,25.8,-14.2
41,Brock Purdy,SF,QB,11,N,,"Efficient offense, Mike Evans now a weapon",6,8.0,16,3,Neutral,Superflex Depth,34.3,,4,Tier 4,57.1,16.1
42,Ashton Jeanty,LV,RB,12,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,3,13.0,21,4,Tough,,32.8,,4,Tier 4,25.7,-16.3
43,Rashee Rice,KC,WR,14,N,GAMBLE,Top-15 talent; real suspension/probation uncertainty,3,5.0,15,3,Neutral,,32.4,,4,Tier 4,40.8,-2.2
44,Sam LaPorta,DET,TE,7,Y,DEPTH,Contract year; real difference-making receiving TE1,4,6.0,32,5,Gauntlet,TEP Boost,30.8,,4,Tier 4,75.9,31.9
45,Zay Flowers,BAL,WR,15,N,FLOOR,"Efficient, high-floor value target",4,13.0,4,1,Very Soft,,30.5,,4,Tier 4,46.3,1.3
46,Jaxson Dart,NYG,QB,12,N,BUST,15 total TD in 12 rookie starts; new OC installing a different scheme,6,8.0,1,1,Very Soft,Superflex Depth,30.3,,4,Tier 4,50.1,4.1
47,Kyren Williams,LAR,RB,13,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,4,11.0,17,3,Neutral,,29.6,,4,Tier 4,38.8,-8.2
48,Javonte Williams,DAL,RB,14,N,BUST,Post-bye decline 5.2->4.3 YPC; bottom 12% in receiving yards per route run,4,14.0,11,2,Soft,,26.9,,4,Tier 4,46.5,-1.5
49,Tee Higgins,CIN,WR,16,N,BUST,"Never topped 1,100 yards; missed 12 games over 3 yrs incl. 2 concussions in 2025",4,6.0,6,1,Very Soft,,24.8,missed 12 games over 3 yrs incl. 2 concussions in 2025,4,Tier 4,48.0,-1.0
50,Bo Nix,DEN,QB,13,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,10,2,Soft,Superflex Depth,24.5,,4,Tier 4,51.4,1.4
51,Kyle Pitts,ATL,TE,8,N,BUST,Averaged just 9.6 PPG in games Drake London also played,4,11.0,19,3,Neutral,TEP Boost,24.1,,4,Tier 4,85.1,34.1
52,Ladd McConkey,LAC,WR,17,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,4,7.0,26,4,Tough,,23.4,,4,Tier 4,50.1,-1.9
53,Breece Hall,NYJ,RB,15,N,GAMBLE,"NEW 8/30: groin strain in Aug camp (out 8/17); team expects a Week 1 return but this is worth confirming the morning of your draft, not assuming",4,13.0,13,2,Soft,,22.9,"Aug groin strain, expected back for Week 1",4,Tier 4,44.4,-8.6
54,Tetairoa McMillan,CAR,WR,18,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,4,5.0,21,4,Tough,,21.6,,4,Tier 4,48.9,-5.1
55,Jeremiyah Love,ARI,RB,16,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,4,14.0,25,4,Tough,,20.4,,4,Tier 4,38.0,-17.0
56,Jaylen Waddle,DEN,WR,19,N,,"NEW 8/30: traded from Miami to Denver this offseason -- treated as a value WR1-upside play in Bo Nix's offense, not a Dolphin any longer",4,10.0,10,2,Soft,,20.2,,4,Tier 4,50.5,-5.5
57,Patrick Mahomes,KC,QB,14,N,GAMBLE,ACL-scare discount; buy-low if medicals check out,6,5.0,15,3,Neutral,Superflex Depth,19.1,ACL scare,4,Tier 4,54.7,-2.3
58,Josh Jacobs,GB,RB,17,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,4,11.0,8,2,Soft,,19.1,,4,Tier 4,49.7,-8.3
59,Garrett Wilson,NYJ,WR,20,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,4,13.0,13,2,Soft,,18.1,,4,Tier 4,54.2,-4.8
60,George Kittle,SF,TE,9,N,GAMBLE,Torn Achilles in the 2025 finale but a fast-recovery location; priced below his TE3 talent level,5,8.0,16,3,Neutral,,17.1,torn Achilles in the 2025 season finale,4,Tier 4,100.7,40.7
61,Travis Etienne,NO,RB,18,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,8.0,18,3,Neutral,,16.4,,4,Tier 4,54.2,-6.8
62,Emeka Egbuka,TB,WR,21,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,10.0,29,5,Gauntlet,,15.4,,4,Tier 4,55.6,-6.4
63,Matthew Stafford,LAR,QB,15,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,23,4,Tough,Superflex Depth,15.3,,4,Tier 4,58.7,-4.3
64,D'Andre Swift,CHI,RB,19,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,10.0,2,1,Very Soft,,15.2,,4,Tier 4,58.5,-5.5
65,Terry McLaurin,WAS,WR,22,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,7.0,7,2,Soft,,14.8,,4,Tier 4,64.5,-0.5
66,Travis Kelce,KC,TE,10,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,5.0,15,3,Neutral,,14.6,,4,Tier 4,100.9,34.9
67,Cam Skattebo,NYG,RB,20,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,8.0,12,2,Soft,,12.9,,5,Tier 5,57.7,-9.3
68,Davante Adams,LAR,WR,23,Y,BUST,"Contract year; turns 34 in Dec, snaps already shrinking pre-injury",5,11.0,23,4,Tough,,12.1,"age 34, snaps already shrinking pre-injury",5,Tier 5,67.8,-0.2
69,Jared Goff,DET,QB,16,N,FLOOR,"4 straight 4,400+ yd seasons; historically underrated in ADP",6,6.0,32,5,Gauntlet,Superflex Depth,11.4,,5,Tier 5,64.5,-4.5
70,Bucky Irving,TB,RB,21,N,FLOOR,"UPDATED 8/30: fully cleared from offseason shoulder surgery, 'full-go' and 'unquestioned starter from Day One' per camp reports -- White is gone (now Washington), no more committee threat",5,10.0,5,1,Very Soft,,11.4,,5,Tier 5,61.7,-8.3
71,Luther Burden III,CHI,WR,24,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,10.0,28,5,Gauntlet,,10.9,,5,Tier 5,64.1,-6.9
72,Dalton Kincaid,BUF,TE,11,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,30,5,Gauntlet,,10.3,,5,Tier 5,105.9,33.9
73,Jameson Williams,DET,WR,25,N,BUST,Both breakout years required another player's absence; 3rd option when healthy,5,6.0,32,5,Gauntlet,,9.4,,5,Tier 5,72.3,-0.7
74,Quinshon Judkins,CLE,RB,22,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,11.0,29,5,Gauntlet,,9.1,,5,Tier 5,67.4,-6.6
75,Jordan Love,GB,QB,17,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,20,4,Tough,Superflex Depth,8.5,,5,Tier 5,77.0,2.0
76,David Montgomery,HOU,RB,23,N,GAMBLE,"NEW 8/30: traded from Detroit to Houston (Gibbs is now the Lions' unquestioned bell-cow); lands in a crowded 3-way Texans mix with Woody Marks and Nick Chubb, no role locked down",6,8.0,4,1,Very Soft,,8.3,,5,Tier 5,68.2,-7.8
77,Dallas Goedert,PHI,TE,12,Y,FLOOR,"Contract year; TE4 with 11 TDs in 2025, more volume now that A.J. Brown is gone. UPDATED 8/30: rookie TE Eli Stowers (2nd-rounder) + added WR depth threaten his target share -- one analyst projects him closer to TE15 than TE10, still startable but trending down not up",6,10.0,3,1,Very Soft,,8.2,,5,Tier 5,125.8,48.8
78,D.J. Moore,BUF,WR,26,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,5,7.0,30,5,Gauntlet,,8.2,,5,Tier 5,64.4,-13.6
79,Christian Watson,GB,WR,27,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,20,4,Tough,,7.2,,5,Tier 5,78.2,-0.8
80,Bhayshul Tuten,JAC,RB,24,N,BUST,Averaged just 3.7 YPC; LeQuint Allen handles the receiving work,6,7.0,23,4,Tough,,6.5,,5,Tier 5,72.9,-7.1
81,Rome Odunze,CHI,WR,28,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,28,5,Gauntlet,,5.9,,5,Tier 5,75.1,-5.9
82,Baker Mayfield,TB,QB,18,Y,DEPTH,Contract year; real starting job in Tampa Bay,6,10.0,29,5,Gauntlet,Superflex Depth,5.6,,5,Tier 5,80.9,-1.1
83,Jadarian Price,SEA,RB,25,N,GAMBLE,1st-round rookie capital into an unresolved timeshare with Charbonnet,6,11.0,16,3,Neutral,,5.4,,5,Tier 5,75.5,-7.5
84,Mike Evans,SF,WR,29,Y,BUST,Contract year; new team/unproven QB fit; played 17/14/8 games last 3 yrs,6,8.0,16,3,Neutral,,5.2,,5,Tier 5,78.4,-5.6
85,Isaiah Likely,NYG,TE,13,N,SLEEPER,"3yr/$40M deal, reunited with new Giants HC Harbaugh; Dart's 2nd read",6,8.0,1,1,Very Soft,,4.9,,5,Tier 5,114.3,29.3
86,TreVeyon Henderson,NE,RB,26,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,28,5,Gauntlet,,4.0,,5,Tier 5,77.4,-8.6
87,Parker Washington,JAC,WR,30,Y,DEPTH,Contract year; Jaguars depth-chart WR1,6,7.0,27,5,Gauntlet,,3.9,,5,Tier 5,78.9,-8.1
88,Rhamondre Stevenson,NE,RB,27,N,HANDCUFF,"NEW 8/30: genuine committee with 2nd-year TreVeyon Henderson, not a clear lead back -- touches likely split all season, treat as backend RB depth not a locked-in starter",6,11.0,28,5,Gauntlet,,2.9,,6,Tier 6,87.6,-0.4
89,Marvin Harrison Jr.,ARI,WR,31,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,22,4,Tough,,2.8,,6,Tier 6,87.4,-1.6
90,Kyler Murray,MIN,QB,19,N,SLEEPER,"Won the Vikings' Wk1 job over McCarthy; elite weapons, still-depressed price",6,6.0,9,2,Soft,Superflex Depth,2.7,,6,Tier 6,77.3,-12.7
91,Mark Andrews,BAL,TE,14,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,4,1,Very Soft,,2.3,,6,Tier 6,126.2,35.2
92,Jaylen Warren,PIT,RB,28,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,9,2,Soft,,2.0,,6,Tier 6,83.2,-8.8
93,Carnell Tate,TEN,WR,32,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,,1.9,,6,Tier 6,82.7,-10.3
94,Tony Pollard,TEN,RB,29,Y,DEPTH,Contract year; Titans' clear RB1,6,9.0,3,1,Very Soft,,1.0,,6,Tier 6,97.2,3.2
95,Brian Thomas Jr.,JAC,WR,33,N,SLEEPER,"NEW 8/30: 'career-best shape' per camp reports, primed for Jacksonville's true WR1 role -- projected ~22-25% target share, best big-play traits in a crowded room",6,7.0,27,5,Gauntlet,,0.9,,6,Tier 6,92.0,-3.0
96,DK Metcalf,PIT,WR,34,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,25,4,Tough,,0.0,,6,Tier 6,93.0,-3.0
97,Tyler Shough,NO,QB,20,N,SLEEPER,Kellen Moore's offense; deep-league Superflex QB2 stash,6,8.0,11,2,Soft,Superflex Depth,0.0,,6,Tier 6,87.0,-10.0
98,Jonathon Brooks,CAR,RB,30,N,BUST,9 career carries and a second ACL tear; Chuba Hubbard remains the starter,6,5.0,7,2,Soft,,0.0,"2nd career ACL tear, minimal NFL touch history",6,Tier 6,101.4,3.4
99,Jake Ferguson,DAL,TE,15,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,8,2,Soft,,0.0,,6,Tier 6,125.2,26.2
100,Rico Dowdle,PIT,RB,31,N,BUST,Collapsed over final 9 games (3.2 YPC) as the lead-ish back -- also Warren's direct handcuff,6,9.0,9,2,Soft,,-0.9,,6,Tier 6,99.7,-0.3
101,Chris Godwin,TB,WR,35,Y,DEPTH,Contract year; steady Tampa Bay starter,6,10.0,29,5,Gauntlet,,-0.9,,6,Tier 6,101.3,0.3
102,Courtland Sutton,DEN,WR,36,N,BUST,Jaylen Waddle's arrival mirrors past attempts to feature other WRs; turns 31,6,10.0,10,2,Soft,,-1.7,,6,Tier 6,101.5,-0.5
103,J.K. Dobbins,DEN,RB,32,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,30,5,Gauntlet,,-1.7,,6,Tier 6,104.9,1.9
104,Juwan Johnson,NO,TE,16,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,11,2,Soft,,-2.0,,6,Tier 6,148.9,44.9
105,Malik Willis,MIA,QB,21,N,SLEEPER,Won Miami's job under an entirely new coaching staff; rushing ceiling,6,6.0,24,4,Tough,Superflex Depth,-2.4,,6,Tier 6,106.6,1.6
106,Quentin Johnston,LAC,WR,37,Y,DEPTH,Contract year; Chargers WR3,6,7.0,26,4,Tough,,-2.6,,6,Tier 6,121.3,15.3
107,Blake Corum,LAR,RB,33,N,HANDCUFF,Backs up Kyren Williams after a 5.1 YPC season,6,11.0,17,3,Neutral,,-2.6,,6,Tier 6,111.4,4.4
108,Michael Pittman Jr.,PIT,WR,38,Y,FLOOR,"NEW 8/30: traded from Indianapolis to Pittsburgh, signed a 3yr/$59M extension there -- presumptive #2 behind DK Metcalf, but capped ceiling in a low-volume passing offense",6,9.0,25,4,Tough,,-3.4,,7,Tier 7,112.5,4.5
109,Chuba Hubbard,CAR,RB,34,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,7,2,Soft,,-3.5,,7,Tier 7,112.0,3.0
110,Hunter Henry,NE,TE,17,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,18,3,Neutral,,-3.7,,7,Tier 7,148.6,38.6
111,Jacory Croskey-Merritt,WAS,RB,35,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,24,4,Tough,,-4.0,,7,Tier 7,117.9,6.9
112,Michael Wilson,ARI,WR,39,N,BUST,New OC shifts scheme; 3rd option behind Harrison Jr. and McBride,6,14.0,22,4,Tough,,-4.0,,7,Tier 7,102.3,-9.7
113,Alec Pierce,IND,WR,40,N,BUST,"Ankle injury complications, no clear return timeline",6,13.0,12,2,Soft,,-4.1,"ankle injury complications, no clear return timeline",7,Tier 7,112.6,-0.4
114,RJ Harvey,DEN,RB,36,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,30,5,Gauntlet,,-4.6,,7,Tier 7,103.3,-10.7
115,Sam Darnold,SEA,QB,22,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,17,3,Neutral,Superflex Depth,-4.8,,7,Tier 7,96.1,-18.9
116,Chig Okonkwo,WAS,TE,18,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,7,2,Soft,,-5.5,,7,Tier 7,161.8,45.8
117,Jordan Mason,MIN,RB,37,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,10,2,Soft,,-5.7,,7,Tier 7,113.0,-4.0
118,Josh Downs,IND,WR,41,Y,DEPTH,Contract year; Colts slot option,6,13.0,12,2,Soft,,-5.8,,7,Tier 7,117.5,-0.5
119,Wan'Dale Robinson,TEN,WR,42,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,,-6.2,,7,Tier 7,124.4,5.4
120,Kenny Gainwell,TB,RB,38,N,HANDCUFF,NEW 8/30: Bowles calls him Tampa's 'RB1-B' -- real passing-down role and the direct beneficiary if Irving's recently-surgically-repaired shoulder has any setback,6,10.0,5,1,Very Soft,,-6.4,,7,Tier 7,119.6,-0.4
121,Stefon Diggs,WAS,WR,43,N,DEPTH,"Washington WR2, veteran",6,7.0,7,2,Soft,,-7.0,,7,Tier 7,112.4,-8.6
122,Kyle Monangai,CHI,RB,39,N,HANDCUFF,"Backs up D'Andre Swift; strong rookie receiving role, efficiency dipped late",6,10.0,2,1,Very Soft,,-7.1,,7,Tier 7,121.7,-0.3
123,Dalton Schultz,HOU,TE,19,N,SLEEPER,Projected 100+ targets again as Stroud's clear No. 2,6,8.0,5,1,Very Soft,,-7.1,,7,Tier 7,160.2,37.2
124,C.J. Stroud,HOU,QB,23,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,5,1,Very Soft,Superflex Depth,-7.3,,7,Tier 7,111.0,-13.0
125,Rachaad White,WAS,RB,40,Y,HANDCUFF,Contract year; insurance behind Jacory Croskey-Merritt,6,7.0,24,4,Tough,,-7.6,,7,Tier 7,135.7,10.7
126,Jayden Reed,GB,WR,45,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,20,4,Tough,,-7.9,,7,Tier 7,112.1,-13.9
127,Jordan Addison,MIN,WR,44,Y,DEPTH,Contract year; real WR2 in a good Vikings offense,6,6.0,9,2,Soft,,-8.0,,7,Tier 7,116.3,-10.7
128,Brenton Strange,JAC,TE,20,Y,DEPTH,Contract year; Jaguars starting TE,6,7.0,27,5,Gauntlet,,-8.3,,7,Tier 7,153.0,25.0
129,Chris Rodriguez Jr.,JAC,RB,42,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,23,4,Tough,,-8.4,,7,Tier 7,142.9,13.9
130,Aaron Jones,MIN,RB,41,Y,DEPTH,Contract year; Vikings committee back,6,6.0,10,2,Soft,,-8.6,,7,Tier 7,130.7,0.7
131,Jakobi Meyers,JAC,WR,47,N,FLOOR,NEW 8/30: traded from Las Vegas to Jacksonville; profiles as JAX's slot/possession weapon (~22-25% target share) alongside Thomas and a limited-role Travis Hunter,6,7.0,27,5,Gauntlet,,-8.9,,7,Tier 7,136.2,5.2
132,Makai Lemon,PHI,WR,46,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,3,1,Very Soft,,-9.0,,7,Tier 7,113.3,-18.7
133,Cam Ward,TEN,QB,24,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,Superflex Depth,-9.2,,7,Tier 7,121.7,-11.3
134,Terrance Ferguson,LAR,TE,21,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,23,4,Tough,,-9.3,,7,Tier 7,171.9,37.9
135,Tyler Allgeier,ARI,RB,44,N,GAMBLE,"UPDATED 8/30: signed with Arizona into a crowded 3-way mix with rookie Jeremiyah Love and James Conner -- one early depth chart even lists him RB1, but treat the touch split as unsettled",6,14.0,25,4,Tough,,-9.4,,7,Tier 7,145.0,10.0
